BRANCHEKODE;NACE_TITEL_DK
33.18.00;Reparation og vedligeholdelse af militære kampkøretøjer, skibe, både og luft- og rumfartøjer
33.19.00;Reparation og vedligeholdelse af andet udstyr
33.20.00;Installation af industrimaskiner og -udstyr
35.11.00;Produktion af elektricitet fra ikke-vedvarende energikilder
35.12.00;Produktion af elektricitet fra vedvarende energikilder
35.13.00;Transmission af elektricitet
35.14.00;Distribution af elektricitet
35.15.10;Handel med elektricitet via ladestationer o. lign.
35.15.90;Anden handel med elektricitet
35.16.00;Lagring af elektricitet
35.21.00;Produktion af gas
35.22.00;Distribution af gas
35.23.00;Handel med gas gennem rørledninger
35.24.00;Oplagring af gas i forbindelse med drift af forsyningsnet
35.30.00;Fjernvarmeforsyning
35.40.00;Mægler- og agentaktiviteter i forbindelse med forsyning af elektricitet og naturgas
36.00.00;Vandforsyning
37.00.00;Opsamling og behandling af spildevand
38.11.00;Indsamling af ikke-farligt affald
38.12.00;Indsamling af farligt affald
38.21.00;Genindvinding af materialer
38.22.00;Energiudnyttelse af affald
38.23.00;Anden nyttiggørelse af affald
38.31.00;Forbrænding uden energiudnyttelse
38.32.00;Deponering eller permanent oplagring
38.33.00;Anden bortskaffelse af affald
39.00.00;Rensning af jord og grundvand og anden dekontaminering
41.00.00;Opførelse af bygninger
42.11.00;Anlæg af veje og motorveje
42.12.00;Anlæg af jernbaner og undergrundsbaner
42.13.00;Anlæg af broer og tunneller
42.21.00;Anlæg af ledningsnet til væsker
42.22.00;Anlæg af ledningsnet til elektricitet og telekommunikation
42.91.00;Anlæg af vandveje, havne, diger, dæmninger mv.
42.99.00;Andre anlægsaktiviteter i.a.n.
43.11.00;Nedrivning
43.12.00;Forberedende byggepladsarbejder
43.13.00;Funderingsundersøgelser
43.21.00;El-installation
43.22.00;Installation af vvs-, varme- og klimaanlæg
43.23.00;Installation af isolering
43.24.00;Andre bygningsinstallationsaktiviteter
43.31.00;Stukkatøraktiviteter
43.32.00;Tømrer- og bygningssnedkeraktiviteter
43.33.00;Udførelse af gulvbelægninger og vægbeklædning
43.34.10;Maleraktiviteter
43.34.20;Glarmesteraktiviteter
43.35.00;Anden bygningsfærdiggørelse
43.41.00;Tagdækningsaktiviteter
43.42.00;Andre specialiserede bygningsarbejder
43.50.00;Specialiserede anlægsaktiviteter
43.60.00;Formidlingsaktiviteter i forbindelse med specialiserede bygge- og anlægsarbejder
43.91.00;Murerarbejde
43.99.00;Andre specialiserede byggeaktiviteter i.a.n.
46.11.00;Agenturhandel med landbrugsråvarer, levende dyr, tekstilråvarer og halvfabrikata
46.12.00;Agenturhandel med brændstoffer, malme, metaller og kemiske produkter til industrien
46.13.00;Agenturhandel med tømmer og andre byggematerialer
46.14.00;Agenturhandel med maskiner, teknisk udstyr, skibe og flyvemaskiner
46.15.00;Agenturhandel med møbler, husholdningsartikler og isenkram
46.16.00;Agenturhandel med tekstiler, beklædning, pelsværk, fodtøj og lædervarer
46.17.10;Fiskeauktioner
46.17.90;Anden agenturhandel med føde-, drikke- og tobaksvarer
46.18.10;Agenturhandel med motorcykler, biler, busser og trailere mv.
46.18.90;Agenturhandel med specialiseret varesortiment, bortset fra køretøjer
46.19.00;Agenturhandel med ikke-specialiseret varesortiment
46.21.00;Engroshandel med korn, uforarbejdet tobak, såsæd og foderstoffer
46.22.00;Engroshandel med blomster og planter
46.23.00;Engroshandel med levende dyr
46.24.00;Engroshandel med huder, skind og læder
46.31.00;Engroshandel med frugt og grøntsager
46.32.10;Engroshandel med kød og kødprodukter
46.32.20;Engroshandel med fisk og fiskeprodukter
46.33.00;Engroshandel med mejeriprodukter, æg samt spiselige olier og fedtstoffer
46.34.10;Engroshandel med øl, mineralvand, frugt- og grøntsagssaft
46.34.20;Engroshandel med vin og spiritus
46.35.00;Engroshandel med tobaksvarer
46.36.00;Engroshandel med sukker, chokolade og sukkervarer
46.37.00;Engroshandel med kaffe, te, kakao og krydderier
46.38.00;Engroshandel med andre fødevarer
46.39.00;Ikke-specialiseret engroshandel med føde-, drikke- og tobaksvarer
46.41.00;Engroshandel med tekstiler
46.42.10;Engroshandel med beklædning
46.42.20;Engroshandel med fodtøj
46.43.10;Engroshandel med hvidevarer og elektriske husholdningsartikler
46.43.20;Engroshandel med radio og tv, fotografiske og optiske artikler
46.44.10;Engroshandel med porcelæns- og glasvarer
46.44.20;Engroshandel med rengøringsmidler
46.45.00;Engroshandel med parfumerivarer og kosmetik
46.46.10;Engroshandel med medicinalvarer og sygeplejeartikler
46.46.20;Engroshandel med læge- og hospitalsartikler
46.47.00;Engroshandel med møbler til bolig-, kontor- og butiksbrug, tæpper og belysningsartikler
46.48.00;Engroshandel med ure og smykker
46.49.10;Engroshandel med cykler, sportsartikler og lystbåde
46.49.20;Engroshandel med bøger, papir og papirvarer
46.49.30;Engroshandel med kufferter og lædervarer
46.49.90;Engroshandel med andre husholdningsartikler i.a.n.
46.50.00;Engroshandel med informations- og kommunikationsudstyr
46.61.00;Engroshandel med landbrugsmaskiner, -udstyr og tilbehør hertil
46.62.00;Engroshandel med værktøjsmaskiner
46.63.00;Engroshandel med maskiner til minedrift og bygge- og anlægsaktiviteter
46.64.00;Engroshandel med andre maskiner og andet udstyr
46.71.00;Engroshandel med motorkøretøjer
46.72.00;Engroshandel med reservedele og tilbehør til motorkøretøjer
46.73.00;Engroshandel med motorcykler samt reservedele og tilbehør dertil
46.81.00;Engroshandel med fast, flydende og luftformigt brændstof og lignende varer
46.82.00;Engroshandel med metaller og metalmalme
46.83.00;Engroshandel med træ og byggematerialer samt sanitetsartikler
46.84.00;Engroshandel med isenkram, varmeanlæg og tilbehør
46.85.00;Engroshandel med kemiske produkter
46.86.00;Engroshandel med andre råvarer og halvfabrikata
46.87.00;Engroshandel med affaldsprodukter
46.89.00;Anden specialiseret engroshandel i.a.n.
46.90.00;Ikke-specialiseret engroshandel
47.11.10;Detailhandel med kioskvarer
47.11.20;Detailhandel med dagligvarer i supermarkeder og købmandsbutikker
47.11.30;Detailhandel med dagligvarer i discountsupermarkeder
47.12.00;Anden ikke-specialiseret detailhandel
47.21.00;Detailhandel med frugt og grøntsager
47.22.00;Detailhandel med kød og kødprodukter
47.23.00;Detailhandel med fisk, krebsdyr og bløddyr
47.24.00;Detailhandel med bagværk og konfekture
47.25.00;Detailhandel med drikkevarer
47.26.00;Detailhandel med tobaksvarer
47.27.00;Detailhandel med andre fødevarer
47.30.00;Detailhandel med motorbrændstoffer
47.40.00;Detailhandel med informations- og kommunikationsudstyr
47.51.00;Detailhandel med tekstiler
47.52.10;Detailhandel med maling og tapet
47.52.20;Detailhandel med byggematerialer og værktøj
47.53.00;Detailhandel med tæpper, vægbeklædning og gulvbelægning
47.54.00;Detailhandel med elektriske husholdningsapparater
47.55.10;Detailhandel med møbler
47.55.20;Detailhandel med bad- og køkkenelementer mv.
47.55.30;Detailhandel med køkkenudstyr og service mv.
47.55.90;Detailhandel med boligtekstiler, belysnings- og husholdningsartikler i.a.n.
47.61.00;Detailhandel med bøger
47.62.00;Detailhandel med aviser og andre tidsskrifter samt kontorartikler
47.63.10;Detailhandel med sports- og fritidsudstyr
47.63.20;Detailhandel med cykler
47.63.30;Detailhandel med lystbåde og udstyr hertil
47.64.00;Detailhandel med spil og legetøj
47.69.10;Detailhandel med musikinstrumenter
47.69.20;Detailhandel med kunst mv.
47.69.90;Detailhandel med andre kulturelle artikler i.a.n
47.71.10;Detailhandel med tøj
47.71.20;Detailhandel med baby- og børnetøj
47.72.10;Detailhandel med fodtøj
47.72.20;Detailhandel med lædervarer
47.73.00;Detailhandel med farmaceutiske produkter
47.74.10;Optikeraktiviteter
47.74.20;Detailhandel med andre medicinske og ortopædiske artikler
47.75.00;Detailhandel med kosmetikvarer og toiletartikler
47.76.10;Detailhandel med blomster og planter
47.76.20;Detailhandel med kæledyr og udstyr til kæledyr
47.77.00;Detailhandel med ure og smykker
47.78.00;Detailhandel med andre nye varer
47.79.00;Detailhandel med brugte varer
47.81.00;Detailhandel med motorkøretøjer
47.82.00;Detailhandel med reservedele og tilbehør til motorkøretøjer
47.83.00;Detailhandel med motorcykler samt reservedele og tilbehør dertil
47.91.00;Formidlingsaktiviteter inden for ikke-specialiseret detailhandel
47.92.00;Formidlingsaktiviteter inden for specialiseret detailhandel
49.11.00;Persontransport med regional- eller fjerntog
49.12.00;Persontransport med nærbane
49.20.00;Godstransport med tog
49.31.00;Passagertransport ad vej med fast køreplan
49.32.00;Passagertransport ad vej uden fast køreplan
49.33.00;Passagertransport på bestilling i køretøj med chauffør
49.34.00;Passagertransport med tovbaner og skilifter
49.39.00;Anden landpassagertransport i.a.n.
49.41.00;Vejgodstransport
49.42.00;Flytteaktiviteter
49.50.00;Rørtransport
50.10.00;Sø- og kysttransport af passagerer
50.20.00;Sø- og kysttransport af gods
50.30.00;Transport af passagerer ad indre vandveje
50.40.00;Transport af gods ad indre vandveje
51.10.10;Passagertransport med rutefly
51.10.20;Passagertransport med charter- og taxifly
51.21.00;Lufttransport af gods
51.22.00;Rumfart
52.10.00;Oplagring og opbevaring
52.21.10;Drift af stationer, godsterminaler mv.
52.21.20;Drift af parkering og vejhjælp mv.
52.21.30;Drift af betalingsveje, -broer og -tunneler
52.22.10;Drift af erhvervshavne
52.22.20;Drift af bugserings-, bjærgnings- og redningsvæsen mv.
52.23.00;Serviceydelser i forbindelse med luftfart
52.24.00;Godshåndtering
52.25.00;Serviceydelser i forbindelse med logistik
52.26.00;Andre støtteaktiviteter i forbindelse med transport
52.31.00;Formidlingsaktiviteter inden for godstransport
52.32.00;Formidlingsaktiviteter inden for passagertransport
53.10.00;Postaktiviteter omfattet af forsyningspligten
53.20.00;Andre post- og kuréraktiviteter
53.30.00;Formidlingsaktiviteter inden for post- og kuréraktiviteter
55.10.00;Drift af hoteller og lignende overnatningsfaciliteter
55.20.00;Drift af ferieboliger og andre overnatningsfaciliteter til kortvarige ophold
55.30.00;Drift af campingpladser
55.40.00;Formidlingsaktiviteter inden for overnatningsfaciliteter
55.90.00;Andre overnatningsfaciliteter
56.11.10;Servering af mad i restauranter og caféer
56.11.90;Drift af øvrige spisesteder
56.12.00;Drift af mobile madboder
56.21.00;Event catering
56.22.00;Catering på kontrakt og andre restaurationsaktiviteter
56.30.10;Udskænkning af ikke-alkoholiske drikkevarer
56.30.20;Udskænkning af alkoholiske drikkevarer
56.40.00;Formidlingsaktiviteter i forbindelse med restaurationsaktiviteter
58.11.00;Udgivelse af bøger
58.12.00;Udgivelse af aviser og dagblade
58.13.00;Udgivelse af ugeblade og magasiner
58.19.00;Andre udgiveraktiviteter, undtagen udgivelse af software
58.21.00;Udgivelse af videospil
58.29.00;Anden udgivelse af software
59.11.00;Produktion af film, videoer og TV-programmer
59.12.00;Aktiviteter efter produktion af film, videoer og TV-programmer
59.13.00;Distribution af film og videoer
59.14.00;Fremvisning af film og andre billedmedier
59.20.00;Indspilning af lydoptagelser og udgivelse af musik
60.10.00;Radioaktiviteter og distribution af lydoptagelser
60.20.00;Programskabelse, udgivelse og distribution af billedoptagelser
60.31.00;Nyhedsbureauers aktiviteter
60.39.00;Anden distribution af medieindhold
61.10.00;Levering af fastnetbaseret, trådløs og satellitbaseret telekommunikation
61.20.00;Videresalg af telekommunikation og formidlingsaktiviteter inden for telekommunikation
61.90.00;Andre telekommunikationsaktiviteter
62.10.00;Computerprogrammering
62.20.00;Computerkonsulentbistand og forvaltning af computerfaciliteter
62.90.00;Andre IT- og computerserviceaktiviteter
63.10.00;IT-infrastruktur, databehandling, hosting og relaterede aktiviteter
63.91.00;Drift af portaler til internettet
63.92.00;Andre informationsaktiviteter
64.11.00;Centralbankers aktiviteter
64.19.00;Andre pengeinstitutters aktiviteter
64.21.10;Finansielle holdingselskaber
64.21.20;Ikke-finansielle holdingselskaber
64.21.30;Gennemløbsholdingselskaber
64.22.00;Finansielle conduiters aktiviteter
64.31.10;Pengemarkedsfondes aktiviteter
64.31.20;Andre investeringsfondes aktiviteter
64.32.00;Trusters aktiviteter
64.91.00;Finansiel leasing
64.92.10;Realkreditinstitutters aktiviteter
64.92.20;Andre kreditinstitutters aktiviteter
64.92.30;Andre kreditselskabers aktiviteter
64.99.10;Investering for egen regning
64.99.90;Anden finansiel formidling i.a.n.
65.11.00;Livsforsikring
65.12.00;Anden forsikring
65.20.00;Genforsikring
65.30.10;Pensionskassers aktiviteter
65.30.20;Anden pensionsforsikring
66.11.00;Forvaltning af kapitalmarkeder
66.12.00;Værdipapir- og varemægling
66.19.00;Andre aktiviteter i forbindelse med finansielle tjenesteydelser, undtagen forsikring og pensionsforsikring
66.21.00;Risiko- og skadesvurdering
66.22.00;Forsikringsagenters og forsikringsmægleres aktiviteter
