CVR-nummer/REG-nummer;Startdato;Ophørsdato;Navn;Adresse;Postnr.;By;Virksomhedsform;Hovedbranche;Telefonnr;Email;Reklamebeskyttet
27978762;2004-06-30;;LUNDGAARD TØMRER-SNEDKERFIRMA ApS;Snedkergangen 9 - 2690 Karlslunde;2690;Karlslunde;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;20618855;Kontakt@lundgaard-ts.dk;Ja
42087270;2021-02-01;;OE Byg ApS;Bag Møllen 2 - Kildebrønde - 2670 Greve;2670;Greve;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;;Ja
42732052;2021-09-26;;Jacob Hørsted Tømrermester ApS;C/O Jacob Hørsted, C/O Jacob Hørsted - Tunegårdsvej 12 - 4030 Tune;4030;Tune;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;;Nej
42232351;2021-03-19;;Aagaard tømrer/snedkermester ApS;Lyrestien 11 - 4030 Tune;4030;Tune;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;31691224;aagaard.snedker@tunenet.dk;Ja
25289838;2000-03-17;;DANA-BYG.DK A/S;Mosede Bygade 6 - 2670 Greve;2670;Greve;Aktieselskab;433200 Tømrer- og bygningssnedkeraktiviteter;40458059;dan@danabyg.dk;Ja
36044519;2014-07-10;;TØMRERFIRMAET BRØDRENE BØRGESEN ApS;Grankogle Alle 2 - 2670 Greve;2670;Greve;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;22555256;info@brdr-borgesen.dk;Ja
86382113;1978-12-28;;TØMRERMESTER JAN PETERSEN ApS;Snedkergangen 18 - 2690 Karlslunde;2690;Karlslunde;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;46150976;;Nej
39118769;2017-11-24;;Leocon Entreprise ApS;Vangeleddet 55 - 2670 Greve;2670;Greve;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;20709012;;Ja
28297629;2004-11-30;;TØMRER- OG SNEDKERFIRMAET HVIDSTEEN ApS;Industrisvinget 8 - 4030 Tune;4030;Tune;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;;Nej
34226717;2012-02-06;;MS - SVENDSEN SNEDKER OG TØMRERFIRMA ApS;C/O Mikkel S. Svendsen, C/O Mikkel S. Svendsen - Hastrupvejen 11 - 2690 Karlslunde;2690;Karlslunde;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;20837265;;Ja
36952555;2015-07-06;;Strøgårdens Tømrer- & Entreprenørfirma ApS;Nældebjerg Alle 29 - 2670 Greve;2670;Greve;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;;Nej
43977539;2023-04-06;;Entreprisepartner ApS;Rytterbakken 35 - 2670 Greve;2670;Greve;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;;Ja
20596031;1998-01-20;;J.L. ENTREPRISE ApS;Korskildemark 3 - 2670 Greve;2670;Greve;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;46151642;;Nej
36713658;2015-04-13;;3G Entreprise A/S;Markblomstvej 10 - 2670 Greve;2670;Greve;Aktieselskab;433200 Tømrer- og bygningssnedkeraktiviteter;40349211;svein@gilbu.dk;Ja
42384356;2021-05-13;;Entreprisebyg, Karlslunde ApS;Lykkesholm 20 - 2690 Karlslunde;2690;Karlslunde;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;;Ja
43212575;2022-04-22;;Reimann Byg ApS;Skæppestien 9 - 4030 Tune;4030;Tune;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;26174112;info@reimannbyg.dk;Ja
37882046;2016-07-14;;S Byg ApS;Odinsvej 20 - 4030 Tune;4030;Tune;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;;Ja
38272918;2016-12-15;;Just Wright Entreprise ApS;C/O Jakob Just, C/O Jakob Just - Firkløvervej 4 - 2670 Greve;2670;Greve;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;21669798;jakob@justwright.dk;Ja
12205074;1988-06-08;;TØMRERFIRMAET STEN JENSEN A/S;Korskildemark 4 - 2670 Greve;2670;Greve;Aktieselskab;433200 Tømrer- og bygningssnedkeraktiviteter;46152851;firma@tfsj.dk;Ja
30602919;2007-05-29;;DYJAK SNEDKER- OG TØMRERFIRMA ApS;Søen 4 - 2690 Karlslunde;2690;Karlslunde;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;46155518;;Ja
14890890;1991-01-02;;Hulbækgaard Dressage ApS;Karlslunde Centervej 85 - 2690 Karlslunde;2690;Karlslunde;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;;Ja
40104623;2018-12-05;;Sydkystens Bolig Byg ApS;Drejergangen 1A - 2690 Karlslunde;2690;Karlslunde;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;;Ja
43901990;2023-03-06;;Amber-Byg ApS;Niels Pedersensvej 14B - 2670 Greve;2670;Greve;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;;Ja
43984845;2023-04-14;;Bornebusch Tømrer og Montage ApS;Tune Bygade 24 - 4030 Tune;4030;Tune;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;;Nej
44927934;2024-06-27;;Tømrerfirmaet Lyngholm Bollhorn ApS;Lundevej 50 - 4030 Tune;4030;Tune;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;;Ja
44128772;2023-06-20;;Kampmann Tag og Facade A/S;Notgangen 8 - 2690 Karlslunde;2690;Karlslunde;Aktieselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;;Nej
44881586;2024-06-03;;Claus Petersens Tømrerentreprise ApS;C/O Claus Petersen, C/O Claus Petersen - Karlslunde Kysthave 8 - st. th - 2690 Karlslunde;2690;Karlslunde;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;40462515;info@cptentreprise.dk;Ja
70121328;1982-12-22;;TØMRERFIRMAET EJNER HANSEN & SØN ApS;C/O Karin Skovgaard Hansen, C/O Karin Skovgaard Hansen - Tunegårdsvænget 42 - 4030 Tune;4030;Tune;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;46138161;;Nej
45536262;2025-04-11;;Tømrermester A. Kjær ApS;Grønnegården 425 - 2670 Greve;2670;Greve;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;;Nej
33573936;2011-03-11;;H. JÖNSSON BYG ApS;Solbakken 18 - 2670 Greve;2670;Greve;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;22367892;henrikhjbyg@gmail.com;Ja
36066318;2014-08-18;;KAN-LEJES ApS;Karlslunde Landevej 2 - 2690 Karlslunde;2690;Karlslunde;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;41417511;kanlejesaps@gmail.com;Ja
38077279;2016-10-07;;NORHS BYG ApS;Korskildelund 6 - 2670 Greve;2670;Greve;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;31314719;info@norhsbyg.dk;Ja
42790745;2021-10-25;;JB Spartel ApS;Strandlyst Alle 22 - 2670 Greve;2670;Greve;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;malerlober@gmail.com;Ja
38372408;2017-01-16;;AM Hoffmann Tømrer og entreprise ApS;Nylandsvej 33 - 2690 Karlslunde;2690;Karlslunde;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;am-hoffmann@hotmail.com;Ja
36693134;2015-02-23;;Reimich ApS;Gærdehuset 2 - 3. tv - 2670 Greve;2670;Greve;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;30494343;jr@reimich.dk;Ja
39526425;2018-04-26;;Conx ApS;Rammsvej 7 - 2670 Greve;2670;Greve;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;;Nej
29796025;2006-11-01;;GULDKYSTENS TØMRER OG SNEDKER ENTREPRISE ApS;Olsbækdal 5 - 2670 Greve;2670;Greve;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;43699934;palle@guldkystens.dk;Ja
45536025;2025-04-11;;AB Tømrerentreprise ApS;Gersagerparken 24 - 2. mf - 2670 Greve;2670;Greve;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;;Nej
43868764;2023-02-22;;MP Tømrer Entreprise ApS;C/O Mads Pheiffer, C/O Mads Pheiffer - Drejergangen 1A - st. - 2690 Karlslunde;2690;Karlslunde;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;;Nej
43823728;2023-02-02;;Sydkystens Byggeservice ApS;Brogårdsvej 9 - 2670 Greve;2670;Greve;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;;Ja
43921002;2023-03-15;;Manjo Entreprise ApS;Metalgangen 12 - 2690 Karlslunde;2690;Karlslunde;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;;Ja
42251356;2021-03-25;;Chabert Byg ApS;Håndværkervænget 22 - 2670 Greve;2670;Greve;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;50803538;;Ja
40300074;2019-02-26;;Tømrermester Dennis Schov ApS;Rosenvangsvej 47 - 2670 Greve;2670;Greve;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;schov@webspeed.dk;Ja
40580638;2019-06-11;;MKA Service ApS;Lykkesholm 12 - 2690 Karlslunde;2690;Karlslunde;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;mkaserviceaps@gmail.com;Nej
41095083;2020-01-21;;M.K. Håndværk ApS;Storebjerg 48 - 2670 Greve;2670;Greve;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;;Ja
45058697;2024-09-05;;Tømrermester Burmann ApS;Højvangen 7 - 2690 Karlslunde;2690;Karlslunde;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;;Ja
85448714;1979-05-07;;O.B.J. KARLSLUNDE ApS;Hastrupvejen 18 - 2690 Karlslunde;2690;Karlslunde;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;;Nej
42604925;2021-08-16;;Tømrerfirmaet EM-Byg ApS;Søhøj 333 - 2690 Karlslunde;2690;Karlslunde;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;;Ja
44808145;2024-05-01;;Klmbyg.dk ApS;Lykkesholm 20 - 2690 Karlslunde;2690;Karlslunde;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;;Nej
44024586;2023-04-29;;Omhyg Byg ApS;Søagerparken 3 - 2. 7 - 2670 Greve;2670;Greve;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;;Nej
14321802;1990-07-01;;SNEDKERMESTER ARNE PEDERSEN A/S;Greve Main 22 - 2670 Greve;2670;Greve;Aktieselskab;433200 Tømrer- og bygningssnedkeraktiviteter;43612775;Info@arnepedersen.dk;Ja
45631273;2025-05-22;;Abildgaard & Rister ApS;Greve Bygade 32 - 2670 Greve;2670;Greve;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;50708393;;Ja
17351680;1993-07-01;;HELMER CHRISTIANSEN A/S;Snedkergangen 6 - 2690 Karlslunde;2690;Karlslunde;Aktieselskab;433200 Tømrer- og bygningssnedkeraktiviteter;46152955;;Nej
26060729;2001-06-01;;KILDEBRØNDE MØLLE MONTAGE ApS;Vævergangen 29 - 2690 Karlslunde;2690;Karlslunde;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;46154097;;Ja
29317968;2006-01-27;;TØMRERELKJÆR ApS;C/O Ronny Wagner Ploug Elkjær, C/O Ronny Wagner Ploug Elkjær - Nylandsvej 17 - 2690 Karlslunde;2690;Karlslunde;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;21224758;;Nej
44818752;2024-05-07;;Morten Vestergaard Totalbyg A/S;Strandskoven 6 - 2670 Greve;2670;Greve;Aktieselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;;Ja
35389075;2013-06-29;;JM BROLÆGNING OG ENTREPRISE ApS;C/O Johnny Møller, C/O Johnny Møller - Fundersvej 14 - 2670 Greve;2670;Greve;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;;Nej
34207771;2012-01-09;;FRANDSEN TØMRER- OG SNEDKERFIRMA ApS;Håndværkerbyen 9 - 2670 Greve;2670;Greve;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;28873886;info@tcfrandsen.dk;Ja
10664594;1987-03-01;;SNEDKERMESTER EIGIL FREDERIKSEN A/S;Snedkergangen 1 - 2690 Karlslunde;2690;Karlslunde;Aktieselskab;433200 Tømrer- og bygningssnedkeraktiviteter;46150892;post@eigilfrederiksen.dk;Ja
39868113;2018-09-17;;Larsen Byg & Ejendomsservice ApS;Greve Landevej 88 - 2670 Greve;2670;Greve;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;;Nej
40897321;2019-10-31;;Moestrup Tømrer & Snedker ApS;Industrihegnet 8A - 4030 Tune;4030;Tune;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;;Nej
40536086;2019-05-22;;Aktiv Skade- og Byggeservice ApS;Navergangen 4 - 2690 Karlslunde;2690;Karlslunde;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;42409116;jacob@aktiv-skade.dk;Ja
45189805;2024-11-05;;Tømrer-Gruppen ApS;Motorgangen 9B - 2690 Karlslunde;2690;Karlslunde;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;42453057;Nh@tomrer-gruppen.dk;Ja
35812830;2014-03-12;;Ovenlysmanden ApS;Gøgevej 5 - 2670 Greve;2670;Greve;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;;Nej
36054883;2014-07-20;;LEOCON ApS;Vangeleddet 55 - 2670 Greve;2670;Greve;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;70707510;abdul@leocon.dk;Ja
17099388;1993-04-06;;KURT KRISTIANSEN & SØNNER ApS;C/O Jens Kristiansen, C/O Jens Kristiansen - Østergårdsvej 13 - 2690 Karlslunde;2690;Karlslunde;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;56140619;;Nej
30710746;2007-07-06;;Brossi ApS;Fløjterupvej 11 - 4030 Tune;4030;Tune;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;;Nej
27688446;2004-04-14;;TØMRER OLE OLSEN ApS;Søhøj 9 - 2690 Karlslunde;2690;Karlslunde;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;56131316;;Nej
36037598;2014-06-30;;DJBYG ApS;Tinggårdsvænget 93 - 4030 Tune;4030;Tune;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;djbygaps@gmail.com;Nej
35663444;2014-02-13;;ENRO ApS;Egedalsvej 4 - 2690 Karlslunde;2690;Karlslunde;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;;Nej
28891954;2005-07-11;;ELKJÆRS BYGGESERVICE ApS;Kildegangen 6B - 2690 Karlslunde;2690;Karlslunde;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;23672116;erling@elkjaers.dk;Nej
44273403;2023-08-31;;A&B.Construct ApS;Geminivej 32 - 2670 Greve;2670;Greve;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;91880016;radubogdaneric91@yahoo.com;Ja
44313901;2023-09-07;;Tømrer - Snedkermester Eger og Aastrøm ApS;Ejgårdsminde 35 - 2670 Greve;2670;Greve;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;81710073;egeraastrom@gmail.com;Nej
45247759;2024-12-03;;Tømrermester Thobias Henriksen ApS;C/O Thobias Henriksen, C/O Thobias Henriksen - Marholm 67 - 2670 Greve;2670;Greve;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;;Ja
73354811;1983-09-13;;TØMRER- OG SNEDKERFIRMAET JEPPE JEPSEN ApS;Vævergangen 20 - 2690 Karlslunde;2690;Karlslunde;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;43600339;info@tsjj.dk;Ja
45398064;2025-02-12;;Nhl group ApS;Motorgangen 9B - 2690 Karlslunde;2690;Karlslunde;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;;Ja
39379031;2018-03-02;;Con Lux ApS;C/O Ioan Macavei, C/O Ioan Macavei - Blåhegnet 10 - 2670 Greve;2670;Greve;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;;Ja
37968749;2016-06-20;;Tømrer- og Snedkerfirmaet Ole Buch Jensen A/S;Hastrupvejen 18 - 2690 Karlslunde;2690;Karlslunde;Aktieselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;;Nej
40195904;2019-01-11;;Brdr. Dyrner Totalentreprise ApS;Metalgangen 9E - 2690 Karlslunde;2690;Karlslunde;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;31313200;;Ja
41841230;2020-11-11;;DW Gruppen ApS;Hedelunden 9A - 2670 Greve;2670;Greve;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;;Ja
45523624;2025-04-02;;BRØDRENE STENBERG ApS;Hundige Strandvej 176 - 2670 Greve;2670;Greve;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;;Nej
43962094;2023-03-24;;Bolig+ ApS;Heimdals Kvarter 86 - 2670 Greve;2670;Greve;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;;Ja
39294125;2018-01-26;;Holst og Holst Juelsminde ApS;Håndværkerbyen 49 - 2670 Greve;2670;Greve;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;42427724;mu@holstholst.dk;Ja
37662305;2016-05-04;;SR Rope ApS;C/O Rouvillain og Støkken Nielsen, C/O Rouvillain og Støkken Nielsen - Metalgangen 9C - 1. - 2690 Karlslunde;2690;Karlslunde;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;20867203;stephan@srrope.com;Ja
35663371;2014-02-13;;M. ENGELL HOLDING ApS;Egedalsvej 4 - 2690 Karlslunde;2690;Karlslunde;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;;Nej
35393013;2013-07-01;;KRAGE OG JENSEN BYG A/S;C/O Tømrerfirmaet Sten Jensen A/S, C/O Tømrerfirmaet Sten Jensen A/S - Korskildemark 4 - 2670 Greve;2670;Greve;Aktieselskab;433200 Tømrer- og bygningssnedkeraktiviteter;46152851;firma@kjb.nu;Ja
35479635;2013-09-23;;Trio Træ A/S;Ole Larsensvej 3B - 2670 Greve;2670;Greve;Aktieselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;kontakt@triotrae.dk;Nej
71290611;1982-10-04;;STEEN NIELSEN TØMRER-OG SNEDKERFIRMA ApS;Fløjterupvej 18 - 2690 Karlslunde;2690;Karlslunde;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;20283006;info@snedkersteen.dk;Ja
38864009;2017-08-17;;Tømrerfirmaet Ritter & Kelman ApS;C/O Michael Kelman, C/O Michael Kelman - Nældebjerg Alle 63 - 2670 Greve;2670;Greve;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;;Ja
41821744;2020-11-05;;Energi-Teamet ApS;Motorgangen 7C - 2690 Karlslunde;2690;Karlslunde;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;70605260;info@eternit-teamet.dk;Ja
36436794;2014-11-14;;TØMRER- OG SNEDKERFIRMAET JIMMY FRIBERG ApS;Geminivej 29 - 31 - 2670 Greve;2670;Greve;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;;Ja
44735660;2024-04-02;;Greven Entreprise ApS;Svanemosen 6 - 2670 Greve;2670;Greve;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;;Ja
13098794;1989-06-15;;LH TØMRER ENTREPRISE A/S;Snedkergangen 7 - 2690 Karlslunde;2690;Karlslunde;Aktieselskab;433200 Tømrer- og bygningssnedkeraktiviteter;20111214;LH-t@post.tele.dk;Nej
37622672;2016-04-18;;JH Tømrer & Snedkerservice ApS;C/O Johnny Hansen, C/O Johnny Hansen - Søhøj 16 - 2690 Karlslunde;2690;Karlslunde;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;johnnysol@hotmail.dk;Ja
26571642;2002-04-22;;Kronborg Byg ApS;Bakkevej 4 - 2690 Karlslunde;2690;Karlslunde;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;20757201;;Ja
40083391;2018-12-11;;Tømro-byg;Dalhuset 10 - st. th - 2670 Greve;2670;Greve;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;;ogunerenbozkurt@gmail.com;Ja
36641819;2015-05-01;;Repstock Byg;Skolegade 4 - 4030 Tune;4030;Tune;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;30231904;cenkrepstock@gmail.com;Ja
40784055;2019-09-30;;Træformeren;Højager 2 - 2670 Greve;2670;Greve;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;27825650;caspar-larsen2012@hotmail.com;Ja
43189174;2022-04-11;;Miteran Entreprise;Kildeagervej 15 - 2690 Karlslunde;2690;Karlslunde;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;28905863;Miteranentreprise@gmail.com;Ja
16415642;1986-02-01;;KW System;Rosengårdsminde 29 - 2670 Greve;2670;Greve;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;20979330;kw@kimwetterstein.dk;Ja
33622678;2011-05-23;;T. Jønck Byg;Markblomstvej 8 - 2670 Greve;2670;Greve;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;22467463;joenck.byg@gmail.com;Nej
37799378;2016-06-16;;Michael Skogh;Byvejen 3 - 2670 Greve;2670;Greve;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;;fornavnmichael@gmail.com;Ja
44435543;2023-12-01;;Tømrerfirmaet Daniel Stec;Marholm 16 - 2670 Greve;2670;Greve;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;55272233;ds@tf-ds.com;Nej
34517436;2012-06-12;;Carsten Bornebusch;Tune Bygade 24 - 4030 Tune;4030;Tune;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;22467733;Tcbb@live.dk;Ja
40967974;2019-11-28;;THImprovements;Søhøj 319 - 2690 Karlslunde;2690;Karlslunde;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;52177188;thimprove@outlook.com;Ja
44809567;2024-05-01;;KB Byg Tømrer & Snedker;Egelykkeparken 8 - 1. tv - 2670 Greve;2670;Greve;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;;kamil@kbbyg.dk;Ja
41340029;2020-05-05;;Tømrer- & Snedkermester T. Klausen;Willumsens Alle 1 - 2690 Karlslunde;2690;Karlslunde;Personligt ejet Mindre Virksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;;klausen1@webspeed.dk;Ja
42113174;2021-02-11;;Tømrermester Kofoed;C/O Jonas Kofoed Hansen, C/O Jonas Kofoed Hansen - Dønnergårds Alle 225 - 2670 Greve;2670;Greve;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;60702790;kofoed1035@gmail.com;Ja
14482628;1967-07-03;;TØMRERMESTER HENNING DAMSØ;Mosede Højvej 46 - 2670 Greve;2670;Greve;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;30243672;damgreve@gmail.com;Ja
15743492;1992-01-01;;Dansk Plastvindues Service v/Kim G W Pedersen;Lykkesholm 35 - 2690 Karlslunde;2690;Karlslunde;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;46155141;;Nej
42442003;2021-06-06;;Masmo;Mågevej 2 - 2670 Greve;2670;Greve;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;;bjl@outlook.dk;Ja
40570977;2019-07-01;;Kan-Byg Tømrer & Snedkerfirma;Ægirs Kvarter 68 - 2670 Greve;2670;Greve;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;26247740;info@kan-byg.dk;Ja
38531719;2017-03-29;;dan-handyman.dk;Østerbakken 53 - 4030 Tune;4030;Tune;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;;dan@dan-handyman.dk;Nej
38663941;2017-05-24;;nhbyg;C E Carlsensvej 10 - 2670 Greve;2670;Greve;Enkeltmandsvirksomhed;433200 Tømrer- og bygningssnedkeraktiviteter;31318531;nh@nhbyg.dk;Ja
