Vrvirksomhed_cvrNummer,Vrvirksomhed_virksomhedMetadata_nyesteNavn_navn,Direktørnavn,Telefon,Email,Hjemmeside,HjemmesideLiveBool,HjemmesideBemærkning,HjemmesideKilde,HjemmesideSøgeord,HjemmesideKandidater,HjemmesideScore,HjemmesideConfirm,HjemmesidePlaceId,HjemmesideRå,HjemmesideNotat,GPlaceBy,GPlacePostnr,Vrvirksomhed_virksomhedMetadata_nyesteBeliggenhedsadresse_vejnavn,Vrvirksomhed_virksomhedMetadata_nyesteBeliggenhedsadresse_husnummerFra,Vrvirksomhed_virksomhedMetadata_nyesteBeliggenhedsadresse_postnummer,Vrvirksomhed_virksomhedMetadata_nyesteBeliggenhedsadresse_postdistrikt,Branchekode,Branchetekst,AntalAnsatte,Vrvirksomhed_virksomhedMetadata_nyesteVirksomhedsform_virksomhedsformkode,Vrvirksomhed_virksomhedMetadata_nyesteVirksomhedsform_langBeskrivelse,Vrvirksomhed_virksomhedMetadata_sammensatStatus,Vrvirksomhed_virksomhedMetadata_ophørsDato
29929505,ABAK VVS ApS,Jan Mogensen; Susan Kofoed Mogensen,,,abak.dk,True,,google_places,ABAK VVS ApS 2630 Taastrup,abak.dk,,,ChIJMSbTBa5ZUkYRwH-ODv5ydIE,http://www.abak.dk/,,Taastrup,2630,Vandmestervej,12,2630,Taastrup,432200,"Installation af vvs-, varme- og klimaanlæg",,80,Anpartsselskab,NORMAL,
36906332,Trio-VVS ApS,Mohammad Hussein Fitian; Ridouan Achiban,70605027,info@trio-vvs.dk,trio-vvs.dk,True,,email,,,,,,,inferred from trio-vvs.dk,,,Valhøjs Alle,158,2610,Rødovre,432200,"Installation af vvs-, varme- og klimaanlæg",9.0,80,Anpartsselskab,NORMAL,
27189164,SCHULTZ & CO VVS ApS,Lars Ágústsson; René Tofteng Larsen,35433075; 35434499,,schultz-vvs.dk,True,,google_places,SCHULTZ & CO VVS ApS 2635 Ishøj,schultz-vvs.dk,,,ChIJ6WAstylYUkYRP7fF5snHiv0,http://www.schultz-vvs.dk/,,Ishøj,2635,Broenge,18,2635,Ishøj,432200,"Installation af vvs-, varme- og klimaanlæg",9.0,80,Anpartsselskab,NORMAL,
29193703,WOLF VVS ApS,Kurt Wolf,40252697,kurt@wolfvvs.dk,https://wolfvvs.dk,True,,cvr,,,,,,,,,,Dirchsvej,25,2300,København S,432200,"Installation af vvs-, varme- og klimaanlæg",9.0,80,Anpartsselskab,NORMAL,
27132111,ALBERTSLUND VVS ApS,Jens Olai Dahl Kofoed; Klaus Storm Pedersen,43624271,alb.vvs@albertslund-vvs.dk,albertslund-vvs.dk,True,,email,,,,,,,inferred from albertslund-vvs.dk,,,Holsbjergvej,51,2620,Albertslund,432200,"Installation af vvs-, varme- og klimaanlæg",9.0,80,Anpartsselskab,NORMAL,
70471418,K.KRISTENSEN & SØN ApS,Benny Dalsgård Kristensen; Birgit Dons Kristensen; Karen Kirstine Dalsgaard Kristensen; Kristen Ejvind Kristensen; Niels-Jørgen Kristensen,43437763; 43964861,vvs@kkristensen.dk,kkristensen.dk,True,,email,,,,,,,inferred from kkristensen.dk,,,Hesselager,15,2605,Brøndby,432200,"Installation af vvs-, varme- og klimaanlæg",9.0,80,Anpartsselskab,NORMAL,
80416415,HILLESTRØM VVS ApS,Jens Hillestrøm; Jonas Askelund Hillestrøm; Michael Hillestrøm,45860061,michael@hillestroemvvs.dk,hillestroemvvs.dk,True,,email,,,,,,,inferred from hillestroemvvs.dk,,,Ved Klædebo,10,2970,Hørsholm,432200,"Installation af vvs-, varme- og klimaanlæg",9.0,80,Anpartsselskab,NORMAL,
25243242,EGHOLM VVS ApS,Jesper Egholm Andersen,,,egholm-vvs.dk,True,,google_places,EGHOLM VVS ApS 1363 København K,egholm-vvs.dk,,,ChIJmzn_xwVTUkYRSqMRM8itz_k,http://www.egholm-vvs.dk/,,København,1363,Vendersgade,14,1363,København K,432200,"Installation af vvs-, varme- og klimaanlæg",9.0,80,Anpartsselskab,NORMAL,
13628084,BS-AIRCONDITION SERVICE ApS,Jeff Lundager Bjerregaard; Jørgen Lundager Hansen; Nina Hansen; Per Emil Hasselbalch Stakemann; René Kluk,31606357,info@bsaircondition.dk,bsaircondition.dk,False,dns failure,email,,,,,,,inferred from bsaircondition.dk,,,Hold-An Vej,124,2750,Ballerup,432200,"Installation af vvs-, varme- og klimaanlæg",9.0,80,Anpartsselskab,NORMAL,
35028862,GRAAE & HILMAND ApS,Helle Haugaard; Jan James Knudsen,51777137,jk.graae.hilmand@gmail.com,,,,none,,,,,,,,,,Kirstinehøj,22,2770,Kastrup,432200,"Installation af vvs-, varme- og klimaanlæg",8.0,80,Anpartsselskab,NORMAL,
32774733,K.S. VVS & EL ApS,Flemming Kock; Keld Sørensen; Snorre Schwartau,61205060,k.s.vvs.service@gmail.com,ksvvsel.dk,True,,google_places,K.S. VVS & EL ApS 2635 Ishøj,ksvvsel.dk,,,ChIJDUrMiIZZUkYReBLmPaPUR44,https://ksvvsel.dk/,,Ishøj,2635,Baldersbækvej,36,2635,Ishøj,432200,"Installation af vvs-, varme- og klimaanlæg",8.0,80,Anpartsselskab,NORMAL,
44697564,Turbos Varme&Byg,Yunus Emre Koca,20202135,turbot103@gmail.com,,,,none,,,,,,,,,,Kanalens Kvt,12,2620,Albertslund,432200,"Installation af vvs-, varme- og klimaanlæg",,10,Enkeltmandsvirksomhed,Aktiv,
44391279,Vvs-vestegnen,Yakup Ciftci,26585853,gbkror2@gmail.com,https://vvs-vestegnen.dk,False,dns failure,cvr,,,,,,,,,,Saven A,1,2630,Taastrup,432200,"Installation af vvs-, varme- og klimaanlæg",,10,Enkeltmandsvirksomhed,Aktiv,
26513634,TITS,Tony Innalls,26242876,tonyinnalls@gmail.com,,,,none,,,,,,,,,,Skjulhøj Allé,32,2720,Vanløse,432200,"Installation af vvs-, varme- og klimaanlæg",,10,Enkeltmandsvirksomhed,Aktiv,
58331813,BLIKKENSLAGERMESTER JENS VOLF,Jens Jakob Volf,44944298; 44944869,,,,,none,,,,,,,,,,Hadsundvej,6,2610,Rødovre,432200,"Installation af vvs-, varme- og klimaanlæg",6.0,10,Enkeltmandsvirksomhed,Aktiv,
13547742,VVS-installatør Klaus Laugmann,Klaus Laugmann,49226474,info@laugmannvvs.dk,www.laugmannvvs.dk,True,,cvr,,,,,,,,,,Ellehammersvej,10,3000,Helsingør,432200,"Installation af vvs-, varme- og klimaanlæg",6.0,10,Enkeltmandsvirksomhed,Aktiv,
10332591,J P Køleteknik v/John Panek,John Panek,43715833; 43715865,john@jpk.dk,jpk.dk,True,,email,,,,,,,inferred from jpk.dk,,,Naverland,4,2600,Glostrup,432200,"Installation af vvs-, varme- og klimaanlæg",6.0,10,Enkeltmandsvirksomhed,Aktiv,
19723739,Allan Villadsen,Allan Villadsen,36492122,allan@av-vvs.dk,av-vvs.dk,True,,email,,,,,,,inferred from av-vvs.dk,,,Tværager,14,2670,Greve,432200,"Installation af vvs-, varme- og klimaanlæg",5.0,10,Enkeltmandsvirksomhed,Aktiv,
20691646,JACKS VVS V/KELL JACK JENSEN,Kell Jack Jensen,40257906; 45831860,jacksvvs@live.dk,,,,none,,,,,,,,,,Urbansgade,2,2100,København Ø,432200,"Installation af vvs-, varme- og klimaanlæg",4.0,10,Enkeltmandsvirksomhed,Aktiv,
19822907,Blikkenslagermester Casper Andersson,Casper Henrik Andersson,49202360,casper@vvs-andersson.dk,vvs-andersson.dk,True,,email,,,,,,,inferred from vvs-andersson.dk,,,Fredericiavej,13,3000,Helsingør,432200,"Installation af vvs-, varme- og klimaanlæg",3.0,10,Enkeltmandsvirksomhed,Aktiv,
18791005,V V S MØLLER V/C MØLLER HANSEN,Carsten Møller Hansen,,,,,,none,,,,,,,,,,Egevej,9,2600,Glostrup,432200,"Installation af vvs-, varme- og klimaanlæg",2.0,10,Enkeltmandsvirksomhed,Aktiv,
45587495,"New PSC Denmark, filial af Nuova PSC S.R.L., Italien",,,,,,,none,,,,,,,,,,H.C. Andersens Boulevard,38,1553,København V,432200,"Installation af vvs-, varme- og klimaanlæg",,180,Filial af udenlandsk anpartsselskab eller selskab,NORMAL,
43568698,"NAFTO-CONSTRUCT Denmark, Filial af NAFTO-CONSTRUCT SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA",,,,nafto-construct.com,False,Ikke samme virksomhed,google_places,"NAFTO-CONSTRUCT Denmark, Filial af NAFTO-CONSTRUCT SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA 1553 København V",nafto-construct.com,,,ChIJRyHnSrBbFkcRbRhOdCi3zLE,http://nafto-construct.com/en/,,Kraków,31-231,H.C. Andersens Boulevard,37,1553,København V,432200,"Installation af vvs-, varme- og klimaanlæg",,180,Filial af udenlandsk anpartsselskab eller selskab,NORMAL,
25238974,Brdr Barret I/S,Frank Barret; Tommy Barret,,tommy@barret.dk,barret.dk,False,under konstruktion,email,,,,,,,inferred from barret.dk,,,Tømmerupvang,65,2770,Kastrup,432200,"Installation af vvs-, varme- og klimaanlæg",0.0,30,Interessentskab,Aktiv,
45159493,ms facade og service,Martin Jensen Steenstrup,,mstenstrup4660@gmail.com,,,,none,,,,,,,,,,Peter Bangs Vej,89,2000,Frederiksberg,432200,"Installation af vvs-, varme- og klimaanlæg",,15,Personligt ejet Mindre Virksomhed,Aktiv,
43590855,VVS EXPRESS,Abdul Rahman El-Hakim,81714140,abudihakim@hotmail.com,,,,none,,,,,,,,,,Agermosen,9,2650,Hvidovre,432200,"Installation af vvs-, varme- og klimaanlæg",,15,Personligt ejet Mindre Virksomhed,Aktiv,
42008095,Olufsen byg,Martin Lars Olufsen,29921975,Mlo@jubii.dk,jubii.dk,True,,email,,,,,,,inferred from jubii.dk,,,Hannemanns Allé,8,2300,København S,432200,"Installation af vvs-, varme- og klimaanlæg",,15,Personligt ejet Mindre Virksomhed,Aktiv,
42472972,VV5,Ruben Sebastian Sobiecki,42285904,Rusesovvs@gmail.com,,,,none,,,,,,,,,,Drejøgade,16,2100,København Ø,432200,"Installation af vvs-, varme- og klimaanlæg",,15,Personligt ejet Mindre Virksomhed,Aktiv,
44424274,vvs firma Jakob Vedsmand og Søn,Daniel Vedsmand,30344669,da.vvs@icloud.com,,,,none,,,,,,,,,,Rytterskolehøj,8,2700,Brønshøj,432200,"Installation af vvs-, varme- og klimaanlæg",,15,Personligt ejet Mindre Virksomhed,Aktiv,
