Vrvirksomhed_cvrNummer,Vrvirksomhed_virksomhedMetadata_nyesteNavn_navn,Direktørnavn,Kontaktoplysninger,Telefon,Email,Hjemmeside,HjemmesideLive,HjemmesideBemærkning,Vrvirksomhed_virksomhedMetadata_nyesteBeliggenhedsadresse_vejnavn,Vrvirksomhed_virksomhedMetadata_nyesteBeliggenhedsadresse_husnummerFra,Vrvirksomhed_virksomhedMetadata_nyesteBeliggenhedsadresse_postnummer,Vrvirksomhed_virksomhedMetadata_nyesteBeliggenhedsadresse_postdistrikt,Branchekode,Branchetekst,Vrvirksomhed_virksomhedMetadata_nyesteVirksomhedsform_virksomhedsformkode,Vrvirksomhed_virksomhedMetadata_nyesteVirksomhedsform_langBeskrivelse,Vrvirksomhed_virksomhedMetadata_sammensatStatus,Vrvirksomhed_virksomhedMetadata_ophørsDato,contact_name,contact_email,contact_title
44313901.0,Tømrer - Snedkermester Eger og Aastrøm ApS,Camilla Eger Sandner; Patrick Aastrøm,81710073,81710073,egeraastrom@gmail.com,https://eger-aastroem.dk/,True,,Ejgårdsminde,35.0,2670.0,Greve,433200.0,Tømrer- og bygningssnedkeraktiviteter,80.0,Anpartsselskab,NORMAL,,,,
25289838.0,DANA-BYG.DK A/S,Allan Boe Petersen; Dan Auchenberg; Jørn Hedegaard Rasmussen; Karsten Warming,40458059,40458059,dan@danabyg.dk,danabyg.dk,True,,Mosede Bygade,6.0,2670.0,Greve,433200.0,Tømrer- og bygningssnedkeraktiviteter,60.0,Aktieselskab,NORMAL,,,,
44894599.0,Modukas ApS,Modestas Bileisis,mathias@modukas.dk,,mathias@modukas.dk,modukas.dk,True,,Mosede Bygade,16.0,2670.0,Greve,433200.0,Tømrer- og bygningssnedkeraktiviteter,80.0,Anpartsselskab,NORMAL,,,,
,,,,,,,,,,,,,,,,,,,,,Ingen kontaktperson fundet
,,,,,,,,,,,,,,,,,,,,,Ingen kontaktperson fundet
,,,,,,,,,,,,,,,,,,,,,Ingen kontaktperson fundet
,,,,,,,,,,,,,,,,,,,,,Ingen kontaktperson fundet
,,,,,,,,,,,,,,,,,,,,,Ingen kontaktperson fundet
,,,,,,,,,,,,,,,,,,,,,Ingen kontaktperson fundet
,,,,,,,,,,,,,,,,,,,Rasmus Nordahl,rasmus.nordahl@arnepedersen.dk,Sektionsdirektør  - Entreprise - Medejer - Arne Pedersen A/S
,,,,,,,,,,,,,,,,,,,,,Ingen kontaktperson fundet
,,,,,,,,,,,,,,,,,,,,,Ingen kontaktperson fundet
,,,,,,,,,,,,,,,,,,,,,Ingen kontaktperson fundet
,,,,,,,,,,,,,,,,,,,,,Ingen kontaktperson fundet
,,,,,,,,,,,,,,,,,,,,,Ingen kontaktperson fundet
